,num,msg,date,stat
0,0.0,/start,1547925837.0,1.0
1,1.0,Generate,1547925841.0,1.0
2,2.0,Прислать код,1547925843.0,1.0
3,3.0,Начать,1547925846.0,1.0
4,4.0,/start,1547925884.0,1.0
5,5.0,/start,1547925911.0,1.0
6,6.0,Join,1547925963.0,1.0
7,7.0,7d539100-1c1,1547925846.0,1.0
8,8.0,/start,1547929106.0,1.0
9,9.0,Generate,1547929125.0,1.0
10,10.0,Прислать код,1547929128.0,1.0
11,11.0,Начать,1547929130.0,1.0
12,12.0,/start,1547930262.0,1.0
13,13.0,/start,1547930311.0,1.0
14,14.0,Generate,1547930320.0,1.0
15,15.0,Прислать код,1547930324.0,1.0
16,16.0,/start,1547930692.0,1.0
17,17.0,Join,1547930697.0,1.0
18,18.0,key_7ec993ac-1c2,1547930699.0,1.0
19,19.0,/start,1547932723.0,1.0
20,20.0,Join,1547932753.0,1.0
21,21.0,key_c1900f4a-1c2,1547932756.0,1.0
22,,,,1.0
23,23.0,/start,1547937533.0,1.0
24,24.0,Generate,1547937539.0,1.0
25,25.0,/start,1547937598.0,1.0
26,26.0,Generate,1547937605.0,1.0
27,27.0,Прислать код,1547937609.0,1.0
28,28.0,1,1547939513.0,1.0
29,29.0,2,1547939517.0,1.0
30,30.0,3,1547939520.0,1.0
